canonical_smiles,conflict_flags,duplicate_group_id,group_size,inchi_keys,label_regimes,merge_policy_used,output_row_count,site_sets,source_record_ids,sources
CCC(=O)O[C@@H]1CC(=O)O[C@H](C)C/C=C/C=C/[C@H](OC(C)=O)[C@H](C)C[C@H](CC=O)[C@H](O[C@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(OC(C)=O)[C@@H](OC(=O)CC)[C@@H](C)O3)[C@@H](N(C)C)[C@H]2O)[C@H]1OC,"[""label_regime_mismatch"", ""site_set_mismatch"", ""site_set_disjoint"", ""contains_broad_region_label""]",dup_51626e7d8d32e873,3,"[""GQNZGCARKRHPOH-QZYHRENMSA-N""]","[""broad_region"", ""single_exact""]",conflict_preserved,3,"[[50], [50], [0, 31, 37, 38, 39, 54]]","[""miocamycin"", ""miocamycin"", ""GQNZGCARKRHPOH-QZYHRENMSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,"[""site_set_mismatch""]",dup_fc96157a38677bbe,3,"[""XLMALTXPSGQGBX-GCJKJVERSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[8, 15], [8, 15], [8, 11, 15]]","[""dextropropoxyphene"", ""dextropropoxyphene"", ""XLMALTXPSGQGBX-GCJKJVERSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_a93c90d7ce524200,3,"[""RYMZZMVNJRMUDD-HGQWONQESA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[6, 8, 9, 14], [6, 8, 9, 14], [6, 8, 9, 13, 14, 15]]","[""simvastatin"", ""simvastatin"", ""RYMZZMVNJRMUDD-HGQWONQESA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@H](O)C[C@@H](O)CC(=O)O)[C@H]21,"[""label_regime_mismatch""]",dup_f6293b27ea0e8a39,3,"[""XWLXKKNPFMNSFA-SRIRLJBESA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[6, 7, 9, 16], [6, 7, 9, 16], [6, 7, 9, 16]]","[""simvastatin_hydroxy_acid"", ""simvastatin_hydroxy_acid"", ""XWLXKKNPFMNSFA-SRIRLJBESA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCC/C=C/C/C=C/CCCCCCCC(=O)O,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_e1c4ebb395dcd63f,3,"[""OYHQOLUKZRVURQ-AVQMFFATSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[0, 3, 7, 11, 16], [0, 3, 7, 11, 16], [0, 3, 7, 11, 14, 15, 16]]","[""linoleic_acid"", ""linoleic_acid"", ""OYHQOLUKZRVURQ-AVQMFFATSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_4409991d851b3d55,3,"[""YZXBAPSDXZZRGB-DOFZRALJSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[6, 8, 11, 16, 20], [6, 8, 11, 16, 20], [6, 8, 11, 16, 20]]","[""arachidonic_acid"", ""arachidonic_acid"", ""YZXBAPSDXZZRGB-DOFZRALJSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCCCOc1ccc2ccc(=O)oc2c1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_536e370a81fd347b,3,"[""HYKWMZVCUBUWMM-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[2, 3, 5, 10], [2, 3, 5, 10], [2, 3, 5, 6, 10]]","[""7-hexoxycoumarin"", ""7-hexoxycoumarin"", ""HYKWMZVCUBUWMM-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCCN(CCCCC)N=O,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_a718443aac5d6f47,3,"[""OELWBYBVFOLSTA-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[0, 4, 6, 8, 10, 12], [0, 4, 6, 8, 10, 12], [0, 4, 6, 8, 10, 12]]","[""N_nitrosodiamylamine"", ""N_nitrosodiamylamine"", ""OELWBYBVFOLSTA-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCCN(CCCOC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,"[""site_set_mismatch""]",dup_ba73a3ad4d1bc99b,3,"[""QNQZBKQEIFTHFZ-GOSISDBHSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[26], [26], [22, 26]]","[""dexloxiglumide"", ""dexloxiglumide"", ""QNQZBKQEIFTHFZ-GOSISDBHSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCCOc1ccc2ccc(=O)oc2c1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_a874c334e240ad4d,3,"[""AUCNGVTWAHBDRJ-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[2, 4, 9], [2, 4, 9], [2, 4, 5, 9]]","[""7-pentoxycoumarin"", ""7-pentoxycoumarin"", ""AUCNGVTWAHBDRJ-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCCOc1ccc2nc3ccc(=O)cc-3oc2c1,"[""site_set_mismatch""]",dup_d38f899edeb208c2,3,"[""ZPSOKQFFOYYPKC-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[12], [12], [12, 19]]","[""7-pentoxyresorufin"", ""7-pentoxyresorufin"", ""ZPSOKQFFOYYPKC-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H]2C[C@H]1OO2,"[""label_regime_mismatch"", ""site_set_mismatch"", ""contains_broad_region_label""]",dup_964d65ed25121565,3,"[""YIBNHAJFJUQSRA-YNNPMVKQSA-N""]","[""broad_region"", ""multi_exact""]",conflict_preserved,3,"[[11, 13], [11, 13], [2, 11, 13, 14, 21, 23]]","[""prostaglandin_H2"", ""prostaglandin_H2"", ""YIBNHAJFJUQSRA-YNNPMVKQSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1[C@@H](O)C=C(C)C[C@@H]21,"[""label_regime_mismatch"", ""site_set_mismatch"", ""contains_broad_region_label""]",dup_e629541202edebec,3,"[""URRJUSLCXVXZOX-KNBMTAEXSA-N""]","[""broad_region"", ""single_exact""]",conflict_preserved,3,"[[0], [0], [0, 2]]","[""7-hydroxy-delta_8_tetrahydrocannabinol"", ""7-hydroxy-delta_8_tetrahydrocannabinol"", ""URRJUSLCXVXZOX-KNBMTAEXSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCN(C)N=O,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_e83f7481cf0a20ca,3,"[""PKTSCJXWLVREKX-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[2, 3], [2, 3], [2, 3, 5]]","[""NMBA"", ""NMBA"", ""PKTSCJXWLVREKX-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCN(CCCC)CC[C@@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,"[""site_set_mismatch""]",dup_52b12f30077ed72f,3,"[""FOHHNHSLJDZUGQ-RUZDIDTESA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[6, 9], [6, 9], [6, 9, 31]]","[""halofantrine"", ""halofantrine"", ""FOHHNHSLJDZUGQ-RUZDIDTESA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,"[""site_set_mismatch""]",dup_999345a189b9ac4d,3,"[""LEBVLXFERQHONN-INIZCTEOSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[3], [3], [3, 4]]","[""bupivacaine"", ""bupivacaine"", ""LEBVLXFERQHONN-INIZCTEOSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,"[""label_regime_mismatch"", ""site_set_mismatch"", ""site_set_disjoint"", ""contains_broad_region_label""]",dup_ebfd393600ec1eb6,3,"[""HKPHPIREJKHECO-UHFFFAOYSA-N""]","[""broad_region"", ""single_exact""]",conflict_preserved,3,"[[8], [8], [5, 19]]","[""butachlor"", ""butachlor"", ""HKPHPIREJKHECO-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"[""site_set_mismatch""]",dup_93c56b2cbe80538b,3,"[""BXGYIRIVTYGQAU-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[3], [3], [3, 4]]","[""7-benzyloxy-4-trifluoromethylcoumarin"", ""7-benzyloxy-4-trifluoromethylcoumarin"", ""BXGYIRIVTYGQAU-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCOc1ccc2ccc(=O)oc2c1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_a8dd2dd9a8930d33,3,"[""BDOGTORASJEUBW-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[3, 8, 9], [3, 8, 9], [3, 4, 8, 9]]","[""7-butoxycoumarin"", ""7-butoxycoumarin"", ""BDOGTORASJEUBW-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCc1nc(Cl)c(C=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_b87ef74ab1a4af22,3,"[""FQZSMTSTFMNWQF-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[11, 12], [11, 12], [11, 12]]","[""E3179"", ""E3179"", ""FQZSMTSTFMNWQF-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_6f9060bb5caf8d80,3,"[""PSIFNNKUMBGKDQ-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[11, 12, 14], [11, 12, 14], [10, 11, 12, 14]]","[""losartan"", ""losartan"", ""PSIFNNKUMBGKDQ-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,"[""site_set_mismatch""]",dup_da2f2c012cd0aa31,3,"[""IYIKLHRQXLHMJQ-UHFFFAOYSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[22, 30], [22, 30], [22, 29, 30]]","[""amiodarone"", ""amiodarone"", ""IYIKLHRQXLHMJQ-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_c348224688700648,3,"[""YBLIQJGXRLZBCZ-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[0, 2, 16, 18, 24], [0, 2, 16, 18, 24], [0, 2, 16, 18, 20, 24]]","[""ne_100"", ""ne_100"", ""YBLIQJGXRLZBCZ-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCN(CCC)CCc1cccc2c1CC(=O)N2,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_fcf20b7352b54a73,3,"[""UHSKFQJFRQCDBE-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[4, 5, 12], [4, 5, 12], [4, 5, 6, 12]]","[""ropinirole"", ""ropinirole"", ""UHSKFQJFRQCDBE-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCN(CCC)N=O,"[""site_set_mismatch""]",dup_8ac1b271ebba893d,3,"[""YLKFDHTUAUWZPQ-UHFFFAOYSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[2, 4], [2, 4], [2, 3, 4, 6]]","[""NDPA"", ""NDPA"", ""YLKFDHTUAUWZPQ-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_d9b10ee74a3a73fb,3,"[""ZKMNUMMKYBVTFN-HNNXBMFYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[5, 10, 13, 15], [5, 10, 13, 15], [1, 5, 10, 13, 15]]","[""ropivacaine"", ""ropivacaine"", ""ZKMNUMMKYBVTFN-HNNXBMFYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCN1CCC[C@@H](c2cccc(S(C)(=O)=O)c2)C1,"[""site_set_mismatch""]",dup_27fa380167af5515,3,"[""GZVBVBMMNFIXGE-CQSZACIVSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[12], [12], [11, 12]]","[""osu_6162"", ""osu_6162"", ""GZVBVBMMNFIXGE-CQSZACIVSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,"[""site_set_mismatch""]",dup_18393a45990e2120,3,"[""JWHAUXFOSRPERK-SFHVURJKSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[4], [4], [2, 4]]","[""propafenone"", ""propafenone"", ""JWHAUXFOSRPERK-SFHVURJKSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc2c(CC)n(Cc3ccccn3)nc2c(=O)[nH]1,"[""site_set_mismatch""]",dup_c3d09a73d8d70a12,3,"[""NIBCDDKWFDEBEP-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[32], [32], [27, 32]]","[""uk_343664"", ""uk_343664"", ""NIBCDDKWFDEBEP-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCOc1ccc(S(=O)(=O)NCC[C@@H]2CCCN2C)cc1-c1nc2c(CCC)nn(C)c2c(=O)[nH]1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_b95b9db418d5347f,3,"[""IYFNEFQTYQPVOC-KRWDZBQOSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[3, 12, 13, 14, 19, 24, 28, 30], [3, 12, 13, 14, 19, 24, 28, 30], [0, 3, 12, 13, 14, 17, 19, 24, 28, 30]]","[""da_8159"", ""da_8159"", ""IYFNEFQTYQPVOC-KRWDZBQOSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_d16b27255ede24df,3,"[""KDLRVYVGXIQJDK-AWPVFWJPSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[3, 18], [3, 18], [3, 5, 18]]","[""clindamycin"", ""clindamycin"", ""KDLRVYVGXIQJDK-AWPVFWJPSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_6f4282cb6b4e5786,3,"[""VOVIALXJUBGFJZ-CMVRJZLVSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[12, 24], [12, 24], [12, 14, 24]]","[""budesonide"", ""budesonide"", ""VOVIALXJUBGFJZ-CMVRJZLVSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCc1ccc2ccccc2n1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_3d9eb4ae7ebcb379,3,"[""IZXJPGLOYYDHRM-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[0, 2, 4, 6, 7, 8, 9, 10], [0, 2, 4, 6, 7, 8, 9, 10], [0, 2, 4, 6, 7, 8, 9, 10]]","[""2n_propylquinoline"", ""2n_propylquinoline"", ""IZXJPGLOYYDHRM-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,"[""site_set_mismatch""]",dup_ee66afe1f4988914,3,"[""BNRNXUUZRGQAQC-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[32], [32], [27, 32]]","[""sildenafil"", ""sildenafil"", ""BNRNXUUZRGQAQC-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN(C(=O)c1c(O)c2c(Cl)cccc2n(C)c1=O)c1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_7c5c7ac99f902b9f,3,"[""GKWPCEFFIHSJOE-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[0, 6, 8, 12], [0, 6, 8, 12], [0, 4, 6, 8, 12, 14, 16, 20]]","[""laquinimod"", ""laquinimod"", ""GKWPCEFFIHSJOE-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,"[""site_set_mismatch""]",dup_ee56b1fa2e6b1f1d,3,"[""HUNXMJYCHXQEGX-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[11], [11], [11, 15]]","[""zaleplon"", ""zaleplon"", ""HUNXMJYCHXQEGX-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN(C)N=O,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_e736450a27382267,3,"[""RTDCJKARQCRONF-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[0, 3], [0, 3], [0, 2, 3]]","[""NMEA"", ""NMEA"", ""RTDCJKARQCRONF-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN(CC)C(=O)c1cccc(C)c1,"[""site_set_mismatch""]",dup_c57a50631c87f756,3,"[""MMOXZBCLCQITDF-UHFFFAOYSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[3, 4], [3, 4], [3, 4, 5]]","[""NN_dimethyl_M_toluamide"", ""NN_dimethyl_M_toluamide"", ""MMOXZBCLCQITDF-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN(CC)C(=S)SC,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_1c926a68c439ef71,3,"[""JYRXPFCUABYLPD-UHFFFAOYSA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[5, 6, 7], [5, 6, 7], [5, 6, 7]]","[""DDTC_Me"", ""DDTC_Me"", ""JYRXPFCUABYLPD-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN(CC)CC#CC(C)(C)OC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_e43e9b5cb1436ee3,3,"[""DMEPDNFRHUGNPT-XMMPIXPASA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[5, 13, 17], [5, 13, 17], [5, 7, 13, 17]]","[""ns_21"", ""ns_21"", ""DMEPDNFRHUGNPT-XMMPIXPASA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,"[""site_set_mismatch""]",dup_e991bc1501b9d5a4,3,"[""XIQVNETUBQGFHX-JOCHJYFZSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[10, 14], [10, 14], [9, 10, 14]]","[""oxybutynin"", ""oxybutynin"", ""XIQVNETUBQGFHX-JOCHJYFZSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN(CC)CC(=O)Nc1c(C)cccc1C,"[""site_set_mismatch""]",dup_ddd2f7968293144e,3,"[""NNJVILVZKWQKPM-UHFFFAOYSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[0, 13], [0, 13], [0, 5, 10, 11, 13]]","[""lidocaine"", ""lidocaine"", ""NNJVILVZKWQKPM-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN(CC)CCC[C@@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,"[""site_set_mismatch""]",dup_159a0259c003274a,3,"[""GPKJTRJOBQGKQK-MRXNPFEDSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[15, 19], [15, 19], [10, 15, 19]]","[""quinacrine"", ""quinacrine"", ""GPKJTRJOBQGKQK-MRXNPFEDSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN(CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,"[""site_set_mismatch""]",dup_c713f495831a39f0,3,"[""WHTVZRBIWZFKQO-CQSZACIVSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[8, 12], [8, 12], [8, 10, 12]]","[""chloroquine"", ""chloroquine"", ""WHTVZRBIWZFKQO-CQSZACIVSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,"[""site_set_mismatch""]",dup_79d3dbfd7bc8ef26,3,"[""TTWJBBZEZQICBI-UHFFFAOYSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[1, 4], [1, 4], [1, 4, 13]]","[""metoclopramide"", ""metoclopramide"", ""TTWJBBZEZQICBI-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,"[""site_set_mismatch""]",dup_8b8620e58877ca72,3,"[""OVCDSSHSILBFBN-UHFFFAOYSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[4, 6], [4, 6], [3, 4, 6]]","[""amodiaquine"", ""amodiaquine"", ""OVCDSSHSILBFBN-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN(CC)N=O,"[""site_set_mismatch""]",dup_ee9dfbb2222f8e53,3,"[""WBNQDOYYEUMPFS-UHFFFAOYSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[0, 5], [0, 5], [0, 2, 5]]","[""NDEA"", ""NDEA"", ""WBNQDOYYEUMPFS-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN(CC)S(=O)(=O)N[C@H]1C[C@@H]2c3cccc4c3c(cn4CC)C[C@H]2N(C)C1,"[""site_set_mismatch""]",dup_32b7cc94ca6401ba,3,"[""ARTRTLXKTHJPRW-ILZDJORESA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[13, 15], [13, 15], [10, 13, 15]]","[""cqa_206_291"", ""cqa_206_291"", ""ARTRTLXKTHJPRW-ILZDJORESA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCN[C@@H](C)Cc1ccc2c(c1)OCO2,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_028db82cdf8aa35f,3,"[""PVXVWWANJIWJOO-VIFPVBQESA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[7, 8], [7, 8], [2, 7, 8, 9, 10]]","[""mde"", ""mde"", ""PVXVWWANJIWJOO-VIFPVBQESA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCNc1nc(Cl)nc(NC(C)(C)C)n1,"[""site_set_mismatch""]",dup_012cf22ecbdd6dcf,3,"[""FZXISNSWEXTPMF-UHFFFAOYSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[2], [2], [2, 13]]","[""terbuthylazine"", ""terbuthylazine"", ""FZXISNSWEXTPMF-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCNc1nc(Cl)nc(NC(C)C)n1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_02ee50f85c87ce9a,3,"[""MXWJVTOOROXGIU-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[2, 10], [2, 10], [2, 9, 10, 13]]","[""atrazine"", ""atrazine"", ""MXWJVTOOROXGIU-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
CCNc1nc(NC(C)(C)C)nc(SC)n1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_487576cacdbb4316,3,"[""IROINLKCQGIITA-UHFFFAOYSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[10, 13], [10, 13], [10, 13]]","[""terbutryne"", ""terbutryne"", ""IROINLKCQGIITA-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
