all_labeled_site_atoms,annotation_label_regime,citation,doi,duplicate_group_id,merge_policy_used,output_label_regime,output_row_id,primary_site_atoms,secondary_site_atoms,site_source,source_file,source_record_id,tertiary_site_atoms
"[3, 12, 13, 14, 19, 24, 28, 30]",tiered_multisite,"Ji et al.,Xenobiotica,34,973,2004",,dup_b95b9db418d5347f,partial_agreement_union,tiered_multisite,da_8159,[24],[14],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,da_8159,"[3, 12, 13, 19, 28, 30]"
"[3, 12, 13, 14, 19, 24, 28, 30]",tiered_multisite,"Ji et al.,Xenobiotica,34,973,2004",,dup_b95b9db418d5347f,partial_agreement_union,tiered_multisite,da_8159,[24],[14],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,da_8159,"[3, 12, 13, 19, 28, 30]"
"[0, 3, 12, 13, 14, 17, 19, 24, 28, 30]",multi_exact,"Ji et al.,Xenobiotica,34,973,2004 PMID: 15801542",,dup_b95b9db418d5347f,partial_agreement_union,tiered_multisite,da_8159,"[3, 12, 13, 14, 19, 24, 28, 30]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,IYFNEFQTYQPVOC-KRWDZBQOSA-N,[]
[8],single_exact,"Rawden et al.,Br. J. Clin. Pharm.,49,313,2000",,dup_96ab5b20cb1e208b,exact_agreement,single_exact,albendazole,[8],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,albendazole,[]
[8],single_exact,"Rawden et al.,Br. J. Clin. Pharm.,49,313,2000",,dup_96ab5b20cb1e208b,exact_agreement,single_exact,albendazole,[8],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,albendazole,[]
[8],single_exact,"Rawden et al.,Br. J. Clin. Pharm.,49,313,2000 PMID: 10759686",,dup_96ab5b20cb1e208b,exact_agreement,single_exact,albendazole,[8],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,HXHWSAZORRCQMX-UHFFFAOYSA-N,[]
"[3, 18]",tiered_multisite,"Wynalda et al.,Drug Metab. Disp.,31,878,2003",,dup_d16b27255ede24df,partial_agreement_union,tiered_multisite,clindamycin,[3],[18],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,clindamycin,[]
"[3, 18]",tiered_multisite,"Wynalda et al.,Drug Metab. Disp.,31,878,2003",,dup_d16b27255ede24df,partial_agreement_union,tiered_multisite,clindamycin,[3],[18],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,clindamycin,[]
"[3, 5, 18]",multi_exact,"Wynalda et al.,Drug Metab. Disp.,31,878,2003 PMID: 12814964",,dup_d16b27255ede24df,partial_agreement_union,tiered_multisite,clindamycin,"[3, 18]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,KDLRVYVGXIQJDK-AWPVFWJPSA-N,[]
"[12, 24]",tiered_multisite,"Jonsson et al.,Drug Metab. Disp.,23,137,1995",,dup_6f4282cb6b4e5786,partial_agreement_union,tiered_multisite,budesonide,[24],[12],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,budesonide,[]
"[12, 24]",tiered_multisite,"Jonsson et al.,Drug Metab. Disp.,23,137,1995",,dup_6f4282cb6b4e5786,partial_agreement_union,tiered_multisite,budesonide,[24],[12],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,budesonide,[]
"[12, 14, 24]",multi_exact,"Jonsson et al.,Drug Metab. Disp.,23,137,1995 PMID: 7720517",,dup_6f4282cb6b4e5786,partial_agreement_union,tiered_multisite,budesonide,"[12, 24]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,VOVIALXJUBGFJZ-CMVRJZLVSA-N,[]
[23],single_exact,"Stevens et al.,J. Pharm. Exp. Ther.,290,594,1999",,dup_f40f6a570bf1c426,exact_agreement,single_exact,rpr_106541,[23],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,rpr_106541,[]
[23],single_exact,"Stevens et al.,J. Pharm. Exp. Ther.,290,594,1999",,dup_f40f6a570bf1c426,exact_agreement,single_exact,rpr_106541,[23],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,rpr_106541,[]
[23],single_exact,"Stevens et al.,J. Pharm. Exp. Ther.,290,594,1999 PMID: 10411567",,dup_f40f6a570bf1c426,exact_agreement,single_exact,rpr_106541,[23],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,QGBIFMJAQARMNQ-QISPFCDLSA-N,[]
"[0, 2, 4, 6, 7, 8, 9, 10]",tiered_multisite,"Belliard et al.,Xenobiotica,33,341,2003",,dup_3d9eb4ae7ebcb379,partial_agreement_union,tiered_multisite,2n_propylquinoline,[2],[7],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,2n_propylquinoline,"[0, 4, 6, 8, 9, 10]"
"[0, 2, 4, 6, 7, 8, 9, 10]",tiered_multisite,"Belliard et al.,Xenobiotica,33,341,2003",,dup_3d9eb4ae7ebcb379,partial_agreement_union,tiered_multisite,2n_propylquinoline,[2],[7],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,2n_propylquinoline,"[0, 4, 6, 8, 9, 10]"
"[0, 2, 4, 6, 7, 8, 9, 10]",multi_exact,"Belliard et al.,Xenobiotica,33,341,2003 PMID:12745870",,dup_3d9eb4ae7ebcb379,partial_agreement_union,tiered_multisite,2n_propylquinoline,"[0, 2, 4, 6, 7, 8]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,IZXJPGLOYYDHRM-UHFFFAOYSA-N,[]
[28],single_exact,,,dup_039ca957704a7aab,single_source,single_exact,Telmisartan,[],[],Rudik_external,/Users/deepika/Desktop/books/enzyme_Software/suppl_info/Rudik_external_dataset/Rudik_external_dataset.sdf,Telmisartan,[]
[32],single_exact,"Hyland et al.,Br. J. Clin. Pharm.,51,239,2001",,dup_ee66afe1f4988914,partial_agreement_union,single_exact,sildenafil,[32],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,sildenafil,[]
[32],single_exact,"Hyland et al.,Br. J. Clin. Pharm.,51,239,2001",,dup_ee66afe1f4988914,partial_agreement_union,single_exact,sildenafil,[32],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,sildenafil,[]
"[27, 32]",single_exact,"Warrington et al., Drug Metab. Dispos., 2000, 28, 392-397
Hyland et al.,Br. J. Clin. Pharm.,51,239,2001",,dup_ee66afe1f4988914,partial_agreement_union,single_exact,sildenafil,[32],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,BNRNXUUZRGQAQC-UHFFFAOYSA-N,[]
"[0, 6, 8, 12]",tiered_multisite,"Tuvesson et al.,Drug Metab. Disp.,33,866,2005",,dup_7c5c7ac99f902b9f,partial_agreement_union,tiered_multisite,laquinimod,"[0, 6, 12]",[8],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,laquinimod,[]
"[0, 6, 8, 12]",tiered_multisite,"Tuvesson et al.,Drug Metab. Disp.,33,866,2005",,dup_7c5c7ac99f902b9f,partial_agreement_union,tiered_multisite,laquinimod,"[0, 6, 12]",[8],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,laquinimod,[]
"[0, 4, 6, 8, 12, 14, 16, 20]",multi_exact,"Tuvesson et al.,Drug Metab. Disp.,33,866,2005 PMID: 15764719",,dup_7c5c7ac99f902b9f,partial_agreement_union,tiered_multisite,laquinimod,"[0, 6, 8, 12, 14, 20]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,GKWPCEFFIHSJOE-UHFFFAOYSA-N,[]
[11],single_exact,"Renwick et al.,Xenobiotica,28,337,1998",,dup_ee56b1fa2e6b1f1d,partial_agreement_union,single_exact,zaleplon,[11],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,zaleplon,[]
[11],single_exact,"Renwick et al.,Xenobiotica,28,337,1998",,dup_ee56b1fa2e6b1f1d,partial_agreement_union,single_exact,zaleplon,[11],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,zaleplon,[]
"[11, 15]",single_exact,"Renwick et al.,Xenobiotica,28,337,1998 PMID: 9604298",,dup_ee56b1fa2e6b1f1d,partial_agreement_union,single_exact,zaleplon,[11],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,HUNXMJYCHXQEGX-UHFFFAOYSA-N,[]
"[0, 3]",tiered_multisite,"Bellec et al., Carcinogenesis, 1996, 17, 2029-2034",,dup_e736450a27382267,partial_agreement_union,tiered_multisite,NMEA,[0],[3],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,NMEA,[]
"[0, 3]",tiered_multisite,"Bellec et al., Carcinogenesis, 1996, 17, 2029-2034",,dup_e736450a27382267,partial_agreement_union,tiered_multisite,NMEA,[0],[3],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,NMEA,[]
"[0, 2, 3]",multi_exact,"Bellec et al., Carcinogenesis, 1996, 17, 2029-2034",,dup_e736450a27382267,partial_agreement_union,tiered_multisite,NMEA,"[0, 3]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,RTDCJKARQCRONF-UHFFFAOYSA-N,[]
"[1, 2]",multi_exact,"Amato et al.,Toxicology Lett.,124,11,2001",,dup_614555dc1c871e63,exact_agreement,multi_exact,NN_diethylformamide,"[1, 2]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,NN_diethylformamide,[]
"[1, 2]",multi_exact,"Amato et al.,Toxicology Lett.,124,11,2001",,dup_614555dc1c871e63,exact_agreement,multi_exact,NN_diethylformamide,"[1, 2]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,NN_diethylformamide,[]
"[1, 2]",multi_exact,"Amato et al.,Toxicology Lett.,124,11,2001 PMID: 11684354",,dup_614555dc1c871e63,exact_agreement,multi_exact,NN_diethylformamide,"[1, 2]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,SUAKHGWARZSWIH-UHFFFAOYSA-N,[]
[7],single_exact,"Madan et al.,Drug Metab. Disp.,23,1153,1995",,dup_1b36abc2f4001869,exact_agreement,single_exact,DETC_Me,[7],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,DETC_Me,[]
[7],single_exact,"Madan et al.,Drug Metab. Disp.,23,1153,1995",,dup_1b36abc2f4001869,exact_agreement,single_exact,DETC_Me,[7],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,DETC_Me,[]
[7],single_exact,"Madan et al.,Drug Metab. Disp.,23,1153,1995",,dup_1b36abc2f4001869,exact_agreement,single_exact,DETC_Me,[7],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,AQTFQQHFHGBCPG-UHFFFAOYSA-N,[]
[2],single_exact,,,dup_d54aa76ff60b2dd7,single_source,single_exact,milnacipran_carbamic_acid,[],[],Peng_external,/Users/deepika/Desktop/books/enzyme_Software/suppl_info/Peng_external_dataset/Peng_external_dataset.sdf,milnacipran_carbamic_acid,[]
"[3, 4]",multi_exact,"Usmani et al.,Drug Metab. Disp.,30,289,2002",10.1124/dmd.30.3.289,dup_c57a50631c87f756,partial_agreement_union,multi_exact,NN_dimethyl_M_toluamide,"[3, 4]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,NN_dimethyl_M_toluamide,[]
"[3, 4]",multi_exact,"Usmani et al.,Drug Metab. Disp.,30,289,2002",10.1124/dmd.30.3.289,dup_c57a50631c87f756,partial_agreement_union,multi_exact,NN_dimethyl_M_toluamide,"[3, 4]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,NN_dimethyl_M_toluamide,[]
"[3, 4, 5]",multi_exact,"Usmani et al.,Drug Metab. Disp.,30,289,2002 PMID: 11854147",,dup_c57a50631c87f756,partial_agreement_union,multi_exact,NN_dimethyl_M_toluamide,"[3, 4]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,MMOXZBCLCQITDF-UHFFFAOYSA-N,[]
"[5, 6, 7]",tiered_multisite,"Madan et al.,Alcohol. Clin. Exp. Res.,22,1212,1998",10.111/j.1530-0277.1998.tb03901.x,dup_1c926a68c439ef71,partial_agreement_union,tiered_multisite,DDTC_Me,"[5, 6]",[7],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,DDTC_Me,[]
"[5, 6, 7]",tiered_multisite,"Madan et al.,Alcohol. Clin. Exp. Res.,22,1212,1998",10.111/j.1530-0277.1998.tb03901.x,dup_1c926a68c439ef71,partial_agreement_union,tiered_multisite,DDTC_Me,"[5, 6]",[7],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,DDTC_Me,[]
"[5, 6, 7]",single_exact,"Madan et al.,Alcohol. Clin. Exp. Res.,22,1212,1998",,dup_1c926a68c439ef71,partial_agreement_union,tiered_multisite,DDTC_Me,[7],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,JYRXPFCUABYLPD-UHFFFAOYSA-N,[]
"[5, 13, 17]",tiered_multisite,"Nakamura et al.,Xenobiotica,29,243,1999",,dup_e43e9b5cb1436ee3,partial_agreement_union,tiered_multisite,ns_21,"[13, 17]",[5],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,ns_21,[]
"[5, 13, 17]",tiered_multisite,"Nakamura et al.,Xenobiotica,29,243,1999",,dup_e43e9b5cb1436ee3,partial_agreement_union,tiered_multisite,ns_21,"[13, 17]",[5],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,ns_21,[]
"[5, 7, 13, 17]",multi_exact,"Nakamura et al.,Xenobiotica,29,243,1999 PMID: 10219965",,dup_e43e9b5cb1436ee3,partial_agreement_union,tiered_multisite,ns_21,"[5, 13, 17]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,DMEPDNFRHUGNPT-XMMPIXPASA-N,[]
"[10, 14]",multi_exact,"Yaich et al.,Pharmacogenetics,8,449,1998",,dup_e991bc1501b9d5a4,partial_agreement_union,multi_exact,oxybutynin,"[10, 14]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,oxybutynin,[]
"[10, 14]",multi_exact,"Yaich et al.,Pharmacogenetics,8,449,1998",,dup_e991bc1501b9d5a4,partial_agreement_union,multi_exact,oxybutynin,"[10, 14]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,oxybutynin,[]
"[9, 10, 14]",multi_exact,"Yaich et al.,Pharmacogenetics,8,449,1998 PMID: 9825837",,dup_e991bc1501b9d5a4,partial_agreement_union,multi_exact,oxybutynin,"[10, 14]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,XIQVNETUBQGFHX-JOCHJYFZSA-N,[]
"[0, 13]",multi_exact,"Wang et al.,Drug Metab. Disp.,28,959,2000",,dup_ddd2f7968293144e,partial_agreement_union,multi_exact,lidocaine,"[0, 13]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,lidocaine,[]
"[0, 13]",multi_exact,"Wang et al.,Drug Metab. Disp.,28,959,2000",,dup_ddd2f7968293144e,partial_agreement_union,multi_exact,lidocaine,"[0, 13]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,lidocaine,[]
"[0, 5, 10, 11, 13]",multi_exact,"S. Imaoka et al., Biochemical Pharmacology, 51, 1041-1050,1996
Wang et al.,Drug Metab. Disp.,28,959,2000
S. Imaoka, K. Enomoto, Y. Oda, A. Asada, M. Fujimori, T. Shimada, S. Fujita, F. P. Guengerich, Y. Funae, J. Pharmacol. Exp. Ther. 1990, 255, 1385-1391.",,dup_ddd2f7968293144e,partial_agreement_union,multi_exact,lidocaine,"[0, 10, 11, 13]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,NNJVILVZKWQKPM-UHFFFAOYSA-N,[]
"[15, 19]",multi_exact,"Huang et al.,Drug Metab. Disp.,34,1136,2006",,dup_159a0259c003274a,partial_agreement_union,multi_exact,quinacrine,"[15, 19]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,quinacrine,[]
"[15, 19]",multi_exact,"Huang et al.,Drug Metab. Disp.,34,1136,2006",,dup_159a0259c003274a,partial_agreement_union,multi_exact,quinacrine,"[15, 19]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,quinacrine,[]
"[10, 15, 19]",multi_exact,"Huang et al.,Drug Metab. Disp.,34,1136,2006 PMID: 16581945",,dup_159a0259c003274a,partial_agreement_union,multi_exact,quinacrine,"[15, 19]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,GPKJTRJOBQGKQK-MRXNPFEDSA-N,[]
"[8, 12]",multi_exact,"Projean et al.,Drug Metab. Disp.,31,748,2003",10.1124/dmd.31.6.748,dup_c713f495831a39f0,partial_agreement_union,multi_exact,chloroquine,"[8, 12]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,chloroquine,[]
"[8, 12]",multi_exact,"Projean et al.,Drug Metab. Disp.,31,748,2003",10.1124/dmd.31.6.748,dup_c713f495831a39f0,partial_agreement_union,multi_exact,chloroquine,"[8, 12]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,chloroquine,[]
"[8, 10, 12]",multi_exact,"Projean et al.,Drug Metab. Disp.,31,748,2003",,dup_c713f495831a39f0,partial_agreement_union,multi_exact,chloroquine,"[8, 12]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,WHTVZRBIWZFKQO-CQSZACIVSA-N,[]
"[1, 4]",multi_exact,"Desta et al.,Drug Metab. Disp.,30,336,2002",10.1124/dmd.30.3.336,dup_79d3dbfd7bc8ef26,partial_agreement_union,multi_exact,metoclopramide,"[1, 4]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,metoclopramide,[]
"[1, 4]",multi_exact,"Desta et al.,Drug Metab. Disp.,30,336,2002",10.1124/dmd.30.3.336,dup_79d3dbfd7bc8ef26,partial_agreement_union,multi_exact,metoclopramide,"[1, 4]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,metoclopramide,[]
"[1, 4, 13]",multi_exact,"Desta et al.,Drug Metab. Disp.,30,336,2002, doi 10.1124/dmd.30.3.336, PMID:11854155",,dup_79d3dbfd7bc8ef26,partial_agreement_union,multi_exact,metoclopramide,"[1, 4]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,TTWJBBZEZQICBI-UHFFFAOYSA-N,[]
[6],single_exact,,,dup_5fda6ab93774491e,single_source,single_exact,C-1311,[],[],Peng_external,/Users/deepika/Desktop/books/enzyme_Software/suppl_info/Peng_external_dataset/Peng_external_dataset.sdf,C-1311,[]
"[4, 6]",multi_exact,"Li et al.,J. Pharm. Exp. Therap.,300,399,2002",,dup_8b8620e58877ca72,partial_agreement_union,multi_exact,amodiaquine,"[4, 6]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,amodiaquine,[]
"[4, 6]",multi_exact,"Li et al.,J. Pharm. Exp. Therap.,300,399,2002",,dup_8b8620e58877ca72,partial_agreement_union,multi_exact,amodiaquine,"[4, 6]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,amodiaquine,[]
"[3, 4, 6]",multi_exact,"Li et al.,J. Pharm. Exp. Therap.,300,399,2002",,dup_8b8620e58877ca72,partial_agreement_union,multi_exact,amodiaquine,"[4, 6]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,OVCDSSHSILBFBN-UHFFFAOYSA-N,[]
"[0, 5]",multi_exact,"Bellec et al., Carcinogenesis, 1996, 17, 2029-2034",,dup_ee9dfbb2222f8e53,partial_agreement_union,multi_exact,NDEA,"[0, 5]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,NDEA,[]
"[0, 5]",multi_exact,"Bellec et al., Carcinogenesis, 1996, 17, 2029-2034",,dup_ee9dfbb2222f8e53,partial_agreement_union,multi_exact,NDEA,"[0, 5]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,NDEA,[]
"[0, 2, 5]",multi_exact,"Bellec et al., Carcinogenesis, 1996, 17, 2029-2034 PMID: 8824531",,dup_ee9dfbb2222f8e53,partial_agreement_union,multi_exact,NDEA,"[0, 5]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,WBNQDOYYEUMPFS-UHFFFAOYSA-N,[]
"[13, 15]",multi_exact,"Ball et al.,Drug Metab. Disp.,20,56,1992",,dup_32b7cc94ca6401ba,partial_agreement_union,multi_exact,cqa_206_291,"[13, 15]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,cqa_206_291,[]
"[13, 15]",multi_exact,"Ball et al.,Drug Metab. Disp.,20,56,1992",,dup_32b7cc94ca6401ba,partial_agreement_union,multi_exact,cqa_206_291,"[13, 15]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,cqa_206_291,[]
"[10, 13, 15]",multi_exact,"Ball et al.,Drug Metab. Disp.,20,56,1992 PMID: 1346997",,dup_32b7cc94ca6401ba,partial_agreement_union,multi_exact,cqa_206_291,"[13, 15]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,ARTRTLXKTHJPRW-ILZDJORESA-N,[]
"[3, 4]",multi_exact,,,dup_706b460e0be8a070,single_source,multi_exact,DHEA,[],[],Peng_external,/Users/deepika/Desktop/books/enzyme_Software/suppl_info/Peng_external_dataset/Peng_external_dataset.sdf,DHEA,[]
[3],single_exact,,,dup_d5fcbf77290421e1,single_source,single_exact,HMEA,[],[],Peng_external,/Users/deepika/Desktop/books/enzyme_Software/suppl_info/Peng_external_dataset/Peng_external_dataset.sdf,HMEA,[]
"[7, 8]",tiered_multisite,"Kreth et al.,Biochem. Pharm.,59,1563,2000",10.1016/S0006-2952(00)00284-7,dup_028db82cdf8aa35f,partial_agreement_union,tiered_multisite,mde,[8],[7],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,mde,[]
"[7, 8]",tiered_multisite,"Kreth et al.,Biochem. Pharm.,59,1563,2000",10.1016/S0006-2952(00)00284-7,dup_028db82cdf8aa35f,partial_agreement_union,tiered_multisite,mde,[8],[7],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,mde,[]
"[2, 7, 8, 9, 10]",multi_exact,"Kreth et al.,Biochem. Pharm.,59,1563,2000",,dup_028db82cdf8aa35f,partial_agreement_union,tiered_multisite,mde,"[7, 8]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,PVXVWWANJIWJOO-VIFPVBQESA-N,[]
[2],single_exact,"Lang et al.,Chem. Res. Toxicol.,10,1037,1997",,dup_012cf22ecbdd6dcf,partial_agreement_union,single_exact,terbuthylazine,[2],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,terbuthylazine,[]
[2],single_exact,"Lang et al.,Chem. Res. Toxicol.,10,1037,1997",,dup_012cf22ecbdd6dcf,partial_agreement_union,single_exact,terbuthylazine,[2],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,terbuthylazine,[]
"[2, 13]",single_exact,"Lang et al.,Chem. Res. Toxicol.,10,1037,1997 PMID:9305587",,dup_012cf22ecbdd6dcf,partial_agreement_union,single_exact,terbuthylazine,[2],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,FZXISNSWEXTPMF-UHFFFAOYSA-N,[]
"[2, 10]",tiered_multisite,"Lang et al.,Chem. Res. Toxicol.,10,1037,1997",,dup_02ee50f85c87ce9a,partial_agreement_union,tiered_multisite,atrazine,[2],[10],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,atrazine,[]
"[2, 10]",tiered_multisite,"Lang et al.,Chem. Res. Toxicol.,10,1037,1997",,dup_02ee50f85c87ce9a,partial_agreement_union,tiered_multisite,atrazine,[2],[10],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,atrazine,[]
"[2, 9, 10, 13]",multi_exact,"Lang et al.,Chem. Res. Tox.,10,1037,1997 PMID: 9305587
Lang et al.,Chem. Res. Toxicol.,10,1037,1997",,dup_02ee50f85c87ce9a,partial_agreement_union,tiered_multisite,atrazine,"[2, 10]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,MXWJVTOOROXGIU-UHFFFAOYSA-N,[]
"[10, 13]",tiered_multisite,"Lang et al.,Chem. Res. Toxicol,10,1037,1997",,dup_487576cacdbb4316,partial_agreement_union,tiered_multisite,terbutryne,[13],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,terbutryne,[10]
"[10, 13]",tiered_multisite,"Lang et al.,Chem. Res. Toxicol,10,1037,1997",,dup_487576cacdbb4316,partial_agreement_union,tiered_multisite,terbutryne,[13],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,terbutryne,[10]
